,이름,year,안타,2타,3타,홈런,사구,볼넷,고4,병살,삼진,희타,타수,도루,투구,gap,num_game,on_base,slg
t6,최원준,2021,5,3,0,0,0,1,0,0,2,0,21,2,85,5,5,0.4090909090909091,0.5238095238095238
t7,최원준,2021,5,1,0,0,1,1,0,0,1,0,19,1,83,5,5,0.38095238095238093,0.3684210526315789
t8,최원준,2021,5,1,0,0,1,3,0,0,2,0,18,1,88,4,5,0.45454545454545453,0.3888888888888889
t9,최원준,2021,4,2,1,0,0,5,0,0,2,0,19,0,103,5,5,0.5,0.5789473684210527
t10,최원준,2021,6,0,0,0,0,4,0,0,1,0,20,0,72,6,5,0.4166666666666667,0.3
t11,최원준,2021,8,2,1,1,0,2,0,0,0,0,22,3,97,6,5,0.5833333333333334,0.8636363636363636
t12,최원준,2021,10,1,0,0,0,1,0,1,3,0,24,2,100,7,5,0.48,0.5
t13,최원준,2021,9,0,0,0,1,3,0,0,2,1,19,3,82,4,5,0.5416666666666666,0.47368421052631576
t14,최원준,2021,6,0,0,0,1,0,0,0,3,0,22,0,90,7,5,0.30434782608695654,0.2727272727272727
t15,최원준,2021,6,0,0,0,0,3,0,0,1,0,19,1,79,5,5,0.4090909090909091,0.3157894736842105
t16,최원준,2021,7,0,2,0,1,1,0,0,5,1,22,2,99,4,5,0.44,0.5909090909090909
t17,최원준,2021,7,1,0,0,0,5,0,0,4,0,20,1,114,4,5,0.52,0.45
t18,최원준,2021,3,0,1,0,0,0,0,0,5,0,22,1,79,5,5,0.18181818181818182,0.2727272727272727
t1,서건창,2021,4,1,0,0,1,2,0,0,1,0,18,1,81,6,5,0.38095238095238093,0.3333333333333333
t2,서건창,2021,8,1,0,1,0,0,0,0,1,1,20,0,68,7,5,0.47619047619047616,0.7
t3,서건창,2021,3,0,0,0,0,3,0,0,4,0,18,1,77,5,5,0.2857142857142857,0.16666666666666666
t5,서건창,2021,6,2,0,1,0,3,0,0,4,0,22,1,93,5,5,0.48,0.6363636363636364
