,이름,year,안타,2타,3타,홈런,사구,볼넷,고4,병살,삼진,희타,타수,도루,투구,gap,num_game,on_base,slg
t25,최형우,2018,5,1,0,0,0,2,0,1,6,0,18,0,90,6,5,0.4,0.3888888888888889
t26,최형우,2018,5,0,0,1,0,5,1,0,5,0,15,1,88,7,5,0.5714285714285714,0.6
t27,최형우,2018,11,2,1,1,0,2,0,1,0,0,21,0,94,6,5,0.7391304347826086,1.0476190476190477
t28,최형우,2018,5,0,0,1,0,3,0,0,2,0,16,0,83,5,5,0.47368421052631576,0.5625
t1,나성범,2018,7,1,0,0,1,3,0,0,2,0,20,0,77,11,5,0.5,0.45
t2,나성범,2018,6,2,0,1,0,1,0,3,3,0,18,0,62,4,5,0.5263157894736842,0.7777777777777778
t3,나성범,2018,5,0,0,1,1,2,1,0,7,0,19,0,94,5,5,0.43478260869565216,0.47368421052631576
t4,나성범,2018,9,4,0,1,0,1,0,1,1,0,22,0,79,5,5,0.6521739130434783,0.9545454545454546
t5,나성범,2018,4,2,0,0,0,2,0,3,1,0,20,2,88,5,5,0.36363636363636365,0.4
t6,나성범,2018,5,1,1,1,0,2,0,0,4,0,19,0,95,22,5,0.47619047619047616,0.7368421052631579
t7,나성범,2018,4,0,0,1,1,3,1,0,9,0,18,0,86,5,5,0.43478260869565216,0.4444444444444444
t8,나성범,2018,6,2,0,2,1,2,0,0,4,0,21,0,89,6,5,0.5416666666666666,0.8571428571428571
t9,나성범,2018,5,0,1,1,0,7,0,0,4,0,17,5,91,5,5,0.5833333333333334,0.7058823529411765
t10,나성범,2018,10,5,0,0,0,3,1,0,0,0,16,1,53,5,5,0.95,1.25
t11,나성범,2018,7,1,0,1,1,2,0,0,3,0,19,1,98,8,5,0.5454545454545454,0.6842105263157895
t12,나성범,2018,3,0,0,0,1,2,1,1,7,0,18,1,85,5,5,0.3181818181818182,0.16666666666666666
t13,나성범,2018,6,2,0,0,0,1,0,1,7,0,20,0,91,6,5,0.42857142857142855,0.5
t14,나성범,2018,4,2,0,0,0,2,0,0,4,0,18,0,91,5,5,0.4,0.4444444444444444
t15,나성범,2018,4,0,0,0,0,1,0,0,5,0,20,0,69,6,5,0.23809523809523808,0.2
t16,나성범,2018,9,1,0,2,1,0,0,0,3,0,20,1,81,5,5,0.6190476190476191,0.95
t17,나성범,2018,5,1,0,1,2,1,0,0,4,0,18,2,76,4,5,0.47619047619047616,0.6111111111111112
t18,나성범,2018,9,1,0,2,0,1,0,0,5,0,21,1,85,4,5,0.5909090909090909,0.9047619047619048
t19,나성범,2018,2,0,0,0,0,2,0,0,10,0,18,0,85,5,5,0.2,0.1111111111111111
t20,나성범,2018,5,0,1,0,0,1,0,0,4,0,19,0,72,5,5,0.35,0.42105263157894735
t21,나성범,2018,4,1,0,0,1,1,0,0,8,0,20,0,81,7,5,0.3181818181818182,0.3
t22,나성범,2018,9,2,0,3,0,1,0,0,7,0,19,0,75,5,5,0.75,1.3157894736842106
t23,나성범,2018,10,2,0,2,0,2,0,1,4,0,20,0,87,5,5,0.7272727272727273,1.1
t24,나성범,2018,7,0,0,0,0,0,0,0,3,0,21,0,86,5,5,0.3333333333333333,0.3333333333333333
t25,나성범,2018,9,1,0,2,0,1,0,1,1,0,19,0,60,4,5,0.65,1.0
t26,나성범,2018,8,2,0,1,2,0,0,0,6,0,19,0,72,4,5,0.6190476190476191,0.8421052631578947
t27,나성범,2018,6,2,0,0,0,0,0,0,6,0,21,0,66,6,5,0.38095238095238093,0.47619047619047616
t28,나성범,2018,6,1,0,0,1,0,0,0,6,0,21,0,92,5,5,0.36363636363636365,0.38095238095238093
t1,전준우,2018,5,0,0,3,0,3,0,2,1,0,16,0,82,4,5,0.5789473684210527,1.0625
